wallet,total_unlocked_percentage
0x001ea8e67edd5277a98568c1e60e8b1025edc7ce,75
0x001edf7905ad877b530e98faeef2f0275a44b257,75
0x001f6c1d4a3f9f69957d921458bf5ee5ae21a1e8,10
0x001f8cd4c7bc33478e7879aa2eacce6df965447a,80
0x001fa88a575d339667af6ffb9d15164fee5b4f69,80
0x001fc166c0a6719da5f7a6325ad9841b42b7aa02,70
0x002019838f26c6d92fb7f1a31c43c17df3eb18fa,50
0x002087e573834d831760a36dfd242dc154b55778,80
0x0020c29cbd287ed235e836e206e76925b137ebee,22.5
0x002127e3f234384e482a1770ff4996fdd5006de6,75
0x0021ec11a2bf2067ffce39e1e16f7778e120722a,75
0x00223bf9be796db80b0dbcda5a953273d51c20ff,75
0x002263e9bcccdeca55b5c1106117c11750bcefb2,50
0x0022974cb6673589681acb4606895a923d7cb5a3,75
0x0022a021ed7009c38611f0258394d782024bf9d4,75
0x0022f157d84f60b162293df3f57ace7ea162d4a0,80
0x0023224abf30d82c850f8e7410d1c1b12dcdb9c2,22.5
0x0023942a76e57a02b3414a14973b785388373465,12.5
0x0023d559c55dd7ef775d77e636e3a1188dd94c19,2.5
0x0023daa2b6ef956f45a55e5382cef6c728495586,80
0x0023de6c76acf178f1caee3015e88aca09cccb1f,30
0x0024f093379392ca3939b00aec64e9a047c274fb,47.5
0x00254e87cbc47b51075102a1d8dba104530c1b83,57.5
0x00266661194e095c81234785953a430aa560cec8,75
0x0026b061955dc05fe6189c6dea26ab130ab54a9a,10
0x002757c12003b7cf6a7e2e08a00da65a677c8a61,50
0x0027663a464b1d28bf4f8485886e1390a651aea0,50
0x0027ad2575307397d9ac009d24f4a4167b42b832,75
0x0027ccaca80ea8fbea1b62d71d8d08ef232ac044,10
0x002810764713b74cf10485ba3815e4a8755dd5f6,80
0x0028e9c02e2897a5d81b57f57be9e54070cdd869,75
0x0028f076abe93cbc27f3baa5c83870982c19a50b,80
0x0028f2ecc4d5623faa137219b68d3ae2811e8aed,75
0x002939b5433509d6693634ac7c968e205e0956a3,80
0x00299604e0f5dc90f38c02974d5e309986499407,30
0x0029993dc6fa2997116e94b453ed479a1cf58c6f,75
0x0029ac4ca921df4e4d68fe07565af46775b4bbbc,70
0x002a22d68d68fec3c21fda5a00bd56836103699f,0
0x002ac9895a51603def40f4d06c3b570e10588913,75
0x002b2d44604b8cdffa3cc8d986ba6c2eba9d44c2,75
0x002b38dd7b1ac07db00e03746397aff47c9d7a5a,45
0x002b612a7289985c19e1454a1a58e2f428ccf742,10
0x002b64f1a5e876ddaa3ffd8596cc7d0cc9c2027e,70
0x002ba4fa447c60ca8bdb1153c8ae93d1bb17020d,7.5
0x002bcdb98b86a9ca6a70aed94dbab44300e30789,80
0x002c1968f7483305340e5df5250ac49bc8c792fc,80
0x002c2f12c6b78edf2a8fbc36001ff421f5bed40b,22.5
0x002c5718a4dc25f02bacef266fbbf3db8ea677ee,80
0x002c8ca8ac9981454e18b7dfa6eb42ce6f6d4b54,60
0x002dad8a3eb658e6bc4b0573fa6657b2ea3c8743,50
0x002e68a0ca25c858a45840ddf2ae026c72694134,70
0x002edf8f8fb88a74cf46d1271a491f4018f5bc63,50
0x002ee6c6228ea1202f2b9207dc58bffb85261cf4,75
0x002f11a1f8a0dead0a6803a1e2e15bc5b7f96682,10
0x002f256ea1f5380e9176092cdbff6e4ad2aa09b5,10
0x002fc0b0ed63601b0f2b354741766455c66309d0,70
0x002fe75b6149a28b51454cd516ec213a6cef9bc3,80
0x002fef26973ab737f7f00daa3808180d212c223c,45
0x00305b78d58c4d10a8ab4693420e5aaf415c0250,10
0x0030b8c2cf246f18f40979ce76ac2a06ea02a511,10
0x0030cb99cb037005bc89760e63d9f0ec4142b482,22.5
0x0030f8867c8bcad8325fb91d780eb087b2affbc5,10
0x00314a41b0e5b96639b756b6e1189de73e3edf65,45
0x00315c5fa319809d54b3905a26e36d5a9650cd1d,60
0x00318aaec7b6c882f07c92312ed0c0e000e8b6f7,55
0x0032413a2641d51e4b91bf492f4f9cf54c3f2e65,75
0x0032e85217f3841eb4913b91c7c02bbd17fe7071,75
0x0032efa547d5d1f16adecf29a1663a98881120db,50
0x0033a9e200bdaa6c237cc800d125331cece342f0,70
